Date,Ticker,TimeBarStart,OpenBarTime,OpenBidPrice,OpenBidSize,OpenAskPrice,OpenAskSize,FirstTradeTime,FirstTradePrice,FirstTradeSize,HighBidTime,HighBidPrice,HighBidSize,HighAskTime,HighAskPrice,HighAskSize,HighTradeTime,HighTradePrice,HighTradeSize,LowBidTime,LowBidPrice,LowBidSize,LowAskTime,LowAskPrice,LowAskSize,LowTradeTime,LowTradePrice,LowTradeSize,CloseBarTime,CloseBidPrice,CloseBidSize,CloseAskPrice,CloseAskSize,LastTradeTime,LastTradePrice,LastTradeSize,MinSpread,MaxSpread,CancelSize,VolumeWeightPrice,NBBOQuoteCount,TradeAtBid,TradeAtBidMid,TradeAtMid,TradeAtMidAsk,TradeAtAsk,TradeAtCrossOrLocked,Volume,TotalTrades,FinraVolume,FinraVolumeWeightPrice,UptickVolume,DowntickVolume,RepeatUptickVolume,RepeatDowntickVolume,UnknownTickVolume,TradeToMidVolWeight,TradeToMidVolWeightRelative,TimeWeightBid,TimeWeightAsk
20200131,MSFT,04:00,04:00:00.000000000,,,,,04:00:00.036597505,172.78,457,04:00:14.537716304,172.63,100,04:00:00.037558317,174.00,100,04:00:00.036597505,172.78,457,04:00:00.037557781,105.13,200,04:00:00.039941724,172.78,700,04:00:00.036597505,172.78,457,04:00:59.999999999,172.62,200,172.91,100,04:00:00.263539883,172.78,185,0.28,5.00,,172.78,32,0,0,0,0,185,0,642,2,0,,0,0,0,0,642,7.49221,0.14408,172.55387,172.90495
20200131,MSFT,04:01,04:01:00.000000000,172.62,200,172.91,100,04:01:10.208608458,172.62,100,04:01:00.000000000,172.62,200,04:01:08.844838910,173.00,100,04:01:10.208771905,172.88,5,04:01:10.208771632,172.26,500,04:01:10.208609446,172.59,1700,04:01:10.229683726,172.59,71,04:01:59.999999999,172.27,100,172.80,100,04:01:10.229683726,172.59,71,0.29,0.74,,172.62269,62,100,0,0,0,186,0,286,5,0,,5,281,0,0,0,6.30769,0.21763,172.32871,172.86913
20200131,MSFT,04:02,04:02:00.000000000,172.27,100,172.80,100,04:02:25.091789449,172.80,100,04:02:00.000000000,172.27,100,04:02:25.091792525,172.91,300,04:02:25.092809921,172.86,140,04:02:00.000000000,172.27,100,04:02:00.000000000,172.80,100,04:02:25.091789449,172.80,100,04:02:59.999999999,172.27,100,172.80,500,04:02:25.092809921,172.86,140,0.53,0.64,,172.835,8,0,0,0,140,100,0,240,2,0,,240,0,0,0,0,26.79167,0.45443,172.27,172.81684
20200131,MSFT,04:03,04:03:00.000000000,172.27,100,172.80,500,,,,04:03:00.000000000,172.27,100,04:03:00.000000000,172.80,500,,,,04:03:00.000000000,172.27,100,04:03:00.000000000,172.80,500,,,,04:03:59.999999999,172.27,100,172.80,500,,,,0.53,0.53,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,172.27,172.80
20200131,MSFT,04:04,04:04:00.000000000,172.27,100,172.80,500,04:04:42.165536894,172.75,52,04:04:33.095006986,172.56,100,04:04:00.000000000,172.80,500,04:04:42.165536894,172.75,52,04:04:39.297338749,172.20,600,04:04:00.000000000,172.80,500,04:04:42.165536894,172.75,52,04:04:59.999999999,172.55,100,172.80,500,04:04:54.347897843,172.75,1,0.24,0.60,,172.75,40,0,0,0,53,0,0,53,2,0,,0,52,0,1,0,7.00943,0.29182,172.41032,172.80
20200131,MSFT,04:05,04:05:00.000000000,172.55,100,172.80,500,04:05:23.878163501,172.62,100,04:05:03.870493822,172.61,100,04:05:00.000000000,172.80,500,04:05:23.878163501,172.62,100,04:05:26.499464021,172.20,700,04:05:26.427740420,172.61,200,04:05:27.947298368,172.55,100,04:05:59.999999999,172.21,100,172.61,100,04:05:27.947298368,172.55,100,0.06,0.41,,172.5992,20,0,290,0,100,73,0,463,7,0,,0,340,0,123,0,-0.33477,-0.025,172.38996,172.69369
20200131,MSFT,04:06,04:06:00.000000000,172.21,100,172.61,100,04:06:01.549457962,172.60,100,04:06:15.638481628,172.76,100,04:06:02.889561157,172.78,300,04:06:15.639431335,172.76,144,04:06:00.000000000,172.21,100,04:06:00.000000000,172.61,100,04:06:01.549457962,172.60,100,04:06:59.999999999,172.50,300,172.78,300,04:06:58.325783958,172.75,13,0.02,0.57,,172.679,18,0,0,0,459,0,0,459,7,0,,359,63,37,0,0,13.86601,0.36889,172.4643,172.77181
20200131,MSFT,04:07,04:07:00.000000000,172.50,300,172.78,300,04:07:31.378197320,172.72,200,04:07:00.000000000,172.50,300,04:07:00.000000000,172.78,300,04:07:31.378197320,172.72,200,04:07:00.000000000,172.50,300,04:07:00.000000000,172.78,300,04:07:31.378197320,172.72,200,04:07:59.999999999,172.50,300,172.78,300,04:07:31.378197320,172.72,200,0.28,0.28,,172.72,8,0,0,0,200,0,0,200,1,0,,0,200,0,0,0,8.00,0.28571,172.50,172.78
20200131,MSFT,04:08,04:08:00.000000000,172.50,300,172.78,300,,,,04:08:00.000000000,172.50,300,04:08:00.000000000,172.78,300,,,,04:08:00.000000000,172.50,300,04:08:00.000000000,172.78,300,,,,04:08:59.999999999,172.50,300,172.78,300,,,,0.28,0.28,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,172.50,172.78
20200131,MSFT,04:09,04:09:00.000000000,172.50,300,172.78,300,04:09:21.529940141,172.71,58,04:09:00.000000000,172.50,300,04:09:00.000000000,172.78,300,04:09:21.529940141,172.71,58,04:09:00.000000000,172.50,300,04:09:00.000000000,172.78,300,04:09:21.529940141,172.71,58,04:09:59.999999999,172.50,300,172.78,300,04:09:21.529940141,172.71,58,0.28,0.28,,172.71,0,0,0,0,58,0,0,58,1,0,,0,58,0,0,0,7.00,0.25,172.50,172.78
